Timestamp,ID,DLC,Data0,Data1,Data2,Data3,Data4,Data5,Data6,Data7
60,0x181,3,0x56,0x0,0x2B,,,,,
60,0x701,1,0x1,,,,,,,
1035,0x701,1,0x1,,,,,,,
1760,0x181,3,0x58,0x0,0x2C,,,,,
2035,0x701,1,0x1,,,,,,,
3035,0x701,1,0x1,,,,,,,
3760,0x181,3,0x5A,0x0,0x2D,,,,,
4035,0x701,1,0x1,,,,,,,
5035,0x701,1,0x1,,,,,,,
5760,0x181,3,0x5C,0x0,0x2E,,,,,
6035,0x701,1,0x1,,,,,,,
7035,0x701,1,0x1,,,,,,,
7760,0x181,3,0x5E,0x0,0x2F,,,,,
8035,0x701,1,0x1,,,,,,,
9035,0x701,1,0x1,,,,,,,
9760,0x181,3,0x60,0x0,0x30,,,,,
10035,0x701,1,0x1,,,,,,,
11035,0x701,1,0x1,,,,,,,
13047,0x181,3,0x0,0x0,0x0,,,,,
13052,0x701,1,0x1,,,,,,,
14047,0x181,3,0x2,0x0,0x1,,,,,
14047,0x701,1,0x1,,,,,,,
15047,0x701,1,0x1,,,,,,,
16022,0x181,3,0x4,0x0,0x2,,,,,
16047,0x701,1,0x1,,,,,,,
17047,0x701,1,0x1,,,,,,,
18022,0x181,3,0x6,0x0,0x3,,,,,
18047,0x701,1,0x1,,,,,,,
19047,0x701,1,0x1,,,,,,,
20022,0x181,3,0x8,0x0,0x4,,,,,
20047,0x701,1,0x1,,,,,,,
21047,0x701,1,0x1,,,,,,,
22022,0x181,3,0xA,0x0,0x5,,,,,
22047,0x701,1,0x1,,,,,,,
23047,0x701,1,0x1,,,,,,,
24022,0x181,3,0xC,0x0,0x6,,,,,
24047,0x701,1,0x1,,,,,,,
25047,0x701,1,0x1,,,,,,,
26022,0x181,3,0xE,0x0,0x7,,,,,
26047,0x701,1,0x1,,,,,,,
27047,0x701,1,0x1,,,,,,,
28022,0x181,3,0x10,0x0,0x8,,,,,
28047,0x701,1,0x1,,,,,,,
29047,0x701,1,0x1,,,,,,,
30022,0x181,3,0x12,0x0,0x9,,,,,
30047,0x701,1,0x1,,,,,,,
31047,0x701,1,0x1,,,,,,,
